NetID,Email Address,Section,First Name,Last Name,SID,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,jgf12345,69.0,80,2019-08-29 08:56:02-07:00,52,80,2019-09-05 08:56:02-07:00,64,80,2019-09-12 08:56:02-07:00,75,100,2019-09-19 08:56:02-07:00,61,70,2019-09-26 08:56:02-07:00,83,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,42,60,2019-10-24 08:56:02-07:00,40,60,2019-10-31 08:56:02-07:00,72,100,2019-10-08 12:30:07-07:00,83,100,2019-11-08 12:30:07-07:00,77,100,2019-12-08 12:30:07-07:00,8,8,8,13,5,0.72,0.83,0.77,0.7702702702702703,0.7657103174603176,0.7702702702702703,0.6086956521739131,0.6152864782276548,0.6152864782276548,0.7271940515764046,73.0,C
rxp56459,ricardo.price@univ.edu,3,Ricardo,Price,rxp56459,77.0,80,2019-08-29 08:56:02-07:00,74,80,2019-09-05 08:56:02-07:00,67,80,2019-09-12 08:56:02-07:00,67,100,2019-09-19 08:56:02-07:00,67,70,2019-09-26 08:56:02-07:00,58,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,60,70,2019-10-17 08:56:02-07:00,38,60,2019-10-24 08:56:02-07:00,55,60,2019-10-31 08:56:02-07:00,68,100,2019-10-08 12:30:07-07:00,92,100,2019-11-08 12:30:07-07:00,75,100,2019-12-08 12:30:07-07:00,10,12,8,14,12,0.68,0.92,0.75,0.8162162162162162,0.8223730158730158,0.8223730158730158,0.8115942028985508,0.8359358288770053,0.8359358288770053,0.8182299550123078,82.0,B
alw07647,amy.white@univ.edu,3,Amy,White,alw07647,71.0,80,2019-08-29 08:56:02-07:00,60,80,2019-09-05 08:56:02-07:00,72,80,2019-09-12 08:56:02-07:00,95,100,2019-09-19 08:56:02-07:00,64,70,2019-09-26 08:56:02-07:00,87,90,2019-10-03 08:56:02-07:00,40,50,2019-10-10 08:56:02-07:00,43,70,2019-10-17 08:56:02-07:00,47,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,99,100,2019-10-08 12:30:07-07:00,95,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00,7,14,15,11,4,0.99,0.95,0.99,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.7391304347826086,0.7142195059842119,0.7391304347826086,0.8498742655699177,85.0,B
fxs77894,felicia.simpson@univ.edu,3,Felicia,Simpson,fxs77894,59.0,80,2019-08-29 08:56:02-07:00,66,80,2019-09-05 08:56:02-07:00,77,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,60,70,2019-09-26 08:56:02-07:00,90,90,2019-10-03 08:56:02-07:00,36,50,2019-10-10 08:56:02-07:00,63,70,2019-10-17 08:56:02-07:00,53,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,63,100,2019-10-08 12:30:07-07:00,90,100,2019-11-08 12:30:07-07:00,99,100,2019-12-08 12:30:07-07:00,11,7,13,9,12,0.63,0.9,0.99,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.7536231884057971,0.7748459383753501,0.7748459383753501,0.8365078355666591,84.0,B
cjs43553,crystal.smith@univ.edu,3,Crystal,Smith,cjs43553,63.0,80,2019-08-29 08:56:02-07:00,80,80,2019-09-05 08:56:02-07:00,59,80,2019-09-12 08:56:02-07:00,90,100,2019-09-19 08:56:02-07:00,48,70,2019-09-26 08:56:02-07:00,66,90,2019-10-03 08:56:02-07:00,48,50,2019-10-10 08:56:02-07:00,64,70,2019-10-17 08:56:02-07:00,52,60,2019-10-24 08:56:02-07:00,58,60,2019-10-31 08:56:02-07:00,85,100,2019-10-08 12:30:07-07:00,88,100,2019-11-08 12:30:07-07:00,60,100,2019-12-08 12:30:07-07:00,6,14,8,14,5,0.85,0.88,0.6,0.8486486486486486,0.8551666666666667,0.8551666666666667,0.6811594202898551,0.6732085561497325,0.6811594202898551,0.7669144927536233,77.0,C
txr84689,timothy.ramirez@univ.edu,3,Timothy,Ramirez,txr84689,72.0,80,2019-08-29 08:56:02-07:00,73,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,73,100,2019-09-19 08:56:02-07:00,49,70,2019-09-26 08:56:02-07:00,79,90,2019-10-03 08:56:02-07:00,49,50,2019-10-10 08:56:02-07:00,57,70,2019-10-17 08:56:02-07:00,54,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,84,100,2019-10-08 12:30:07-07:00,69,100,2019-11-08 12:30:07-07:00,87,100,2019-12-08 12:30:07-07:00,4,8,13,6,4,0.84,0.69,0.87,0.8405405405405405,0.8477063492063494,0.8477063492063494,0.5072463768115942,0.48471606824547997,0.5072463768115942,0.732756452726018,74.0,C
jsr21334,john.rodriguez@univ.edu,3,John,Rodriguez,jsr21334,78.0,80,2019-08-29 08:56:02-07:00,76,80,2019-09-05 08:56:02-07:00,63,80,2019-09-12 08:56:02-07:00,61,100,2019-09-19 08:56:02-07:00,52,70,2019-09-26 08:56:02-07:00,61,90,2019-10-03 08:56:02-07:00,41,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,37,60,2019-10-24 08:56:02-07:00,60,60,2019-10-31 08:56:02-07:00,92,100,2019-10-08 12:30:07-07:00,68,100,2019-11-08 12:30:07-07:00,89,100,2019-12-08 12:30:07-07:00,6,12,12,11,7,0.92,0.68,0.89,0.7891891891891892,0.7965515873015873,0.7965515873015873,0.6956521739130435,0.6840769034886682,0.6956521739130435,0.774816287094548,78.0,C
axm26865,anthony.miller@univ.edu,3,Anthony,Miller,axm26865,77.0,80,2019-08-29 08:56:02-07:00,53,80,2019-09-05 08:56:02-07:00,65,80,2019-09-12 08:56:02-07:00,74,100,2019-09-19 08:56:02-07:00,66,70,2019-09-26 08:56:02-07:00,78,90,2019-10-03 08:56:02-07:00,30,50,2019-10-10 08:56:02-07:00,55,70,2019-10-17 08:56:02-07:00,53,60,2019-10-24 08:56:02-07:00,41,60,2019-10-31 08:56:02-07:00,73,100,2019-10-08 12:30:07-07:00,68,100,2019-11-08 12:30:07-07:00,93,100,2019-12-08 12:30:07-07:00,9,8,13,7,12,0.73,0.68,0.93,0.8,0.7939404761904763,0.8,0.7101449275362319,0.7232442067736186,0.7232442067736186,0.7809732620320856,79.0,C
bxt62105,brandon.thomas@univ.edu,3,Brandon,Thomas,bxt62105,80.0,80,2019-08-29 08:56:02-07:00,49,80,2019-09-05 08:56:02-07:00,53,80,2019-09-12 08:56:02-07:00,77,100,2019-09-19 08:56:02-07:00,46,70,2019-09-26 08:56:02-07:00,86,90,2019-10-03 08:56:02-07:00,33,50,2019-10-10 08:56:02-07:00,53,70,2019-10-17 08:56:02-07:00,37,60,2019-10-24 08:56:02-07:00,51,60,2019-10-31 08:56:02-07:00,86,100,2019-10-08 12:30:07-07:00,72,100,2019-11-08 12:30:07-07:00,65,100,2019-12-08 12:30:07-07:00,7,10,13,8,4,0.86,0.72,0.65,0.7635135135135135,0.7541507936507935,0.7635135135135135,0.6086956521739131,0.5944996180290297,0.6086956521739131,0.7005141010575793,71.0,C
lcr30757,laura.reid@univ.edu,3,Laura,Reid,lcr30757,51.0,80,2019-08-29 08:56:02-07:00,75,80,2019-09-05 08:56:02-07:00,48,80,2019-09-12 08:56:02-07:00,62,100,2019-09-19 08:56:02-07:00,42,70,2019-09-26 08:56:02-07:00,54,90,2019-10-03 08:56:02-07:00,32,50,2019-10-10 08:56:02-07:00,61,70,2019-10-17 08:56:02-07:00,49,60,2019-10-24 08:56:02-07:00,46,60,2019-10-31 08:56:02-07:00,64,100,2019-10-08 12:30:07-07:00,86,100,2019-11-08 12:30:07-07:00,86,100,2019-12-08 12:30:07-07:00,4,13,10,8,12,0.64,0.86,0.86,0.7027027027027027,0.7089761904761904,0.7089761904761904,0.6811594202898551,0.6779933791698498,0.6811594202898551,0.7349383022774327,74.0,C
